County,District,School,Assistance Status,Phones,Emails,URL
Santa Clara,Alum Rock Union Elementary,Clyde L. Fischer Middle,CSI Low Perform,"['(408)928-7500', '(408)928-7501']",[],https://fischer.arusd.org/
Contra Costa,Antioch Unified,Rocketship Delta Prep,CSI Low Perform,"['925-732-7587', '925-732-7587', '877-806-0920']","['rdl@rsed.org', 'info@rsed.org']",https://www.rocketshipschools.org/schools/deltaprep/
Contra Costa,Antioch Unified,Antioch Middle,CSI Low Perform,"['925.779.7400', '925.779.7400', '925.779.7414', '925.779.7414', '925-779-7500', '925-779-7500']",['Questions or Feedback?'],https://www.antiochschools.net/antiochmiddle
Contra Costa,Antioch Unified,Park Middle,CSI Low Perform,"['925.779.7420', '925.779.7420', '925.779.7421', '925.779.7421', '925-779-7500', '925-779-7500']",['Questions or Feedback?'],https://www.antiochschools.net/park
Los Angeles,Bonita Unified,Vista (Alternative),CSI Low Perform,"['5834919267', '(510) 657-7028', '2147483647', '2147483647', '2147483647', '2147483647', '2147483647', '2147483647', '2147483647', '2147483647', '2147483647', '2147483647', '2147483647', '2147483647', '2147483647', '2147483647', '2147483647', '2147483647', '2147483647', '2147483647', '(510) 657-7028', '(510) 657-7028', '(510) 657-7028', '(510) 657-7028']",[],"https://www.usnews.com/education/best-high-schools/california/districts/fremont-unified/vista-alternative-2212#:~:text=At%20Vista%20Alternative%2C%20students%20have,schools%20in%20the%20Fremont%20Unified."
Los Angeles,Compton Unified,Davis Middle,CSI Low Perform,"['(310) 898-6020', '(310) 639-4321']",[],https://dms-compton-ca.schoolloop.com/
Orange,Garden Grove Unified,Mark Twain Special Center,CSI Low Perform,['(714) 663-6050'],['marktwain@ggusd.us'],https://marktwain.ggusd.us/
Santa Clara,Gilroy Unified,Solorsano Middle,CSI Low Perform,"['(669) 205-5000', '(408)-848-4154']",[],https://asms.gilroyunified.org/
Santa Clara,Gilroy Unified,South Valley Middle,CSI Low Perform,,,
Los Angeles,Inglewood Unified,Crozier (George W.) Middle,CSI Low Perform,"['(310) 680-5280', '(310) 330-5295', '(310) 680-5280', '(310) 419-2778']","['sbranch@inglewood.k12.ca.us', 'sylvia.branch@inglewoodusd.com', '']",https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19646346057749
Los Angeles,Lancaster Elementary,The Leadership Academy,CSI Low Perform,[],[],https://en.wikipedia.org/wiki/Los_Angeles_Leadership_Academy
Los Angeles,Lennox,Century Academy for Excellence,CSI Low Perform,[],[],https://centuryacademy.org/
Los Angeles,Long Beach Unified,Lindbergh STEM Academy,CSI Low Perform,"['562-427-7923', '(562)422-2845', '(562)423-8176', '562-997-8000']",[],https://lblindbergh.schoolloop.com/
Los Angeles,Long Beach Unified,Franklin Classical Middle,CSI Low Perform,"['(562) 435-4952', '(562) 432-6308', '562-997-8000']","['\nGeneral School Questions\n    ', '\nSchool Loop Questions\n    ', '\n Website Questions or Comments\n    ', '6th Grade', '7th Grade', '8th Grade']",https://lbfranklin.schoolloop.com/
Los Angeles,Los Angeles County Office of Education,North Valley Military Institute College Preparatory Academy,CSI Low Perform,"['(818) 368-1557', '(818) 368-1935']",[],http://www.novamil.org/
Los Angeles,Los Angeles County Office of Education,Road to Success Academy at Campus Kilpatrick,CSI Low Perform,"['(818) 889-1225', '(818) 889-7011', '(818) 879-6111', '(562) 922-8894']","['perez_norberto@lacoe.edu', '']",https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19101990121954
Los Angeles,Los Angeles County Office of Education,LA's Promise Charter Middle #1,CSI Low Perform,"['323-403-0770', '323 403-0770', '562-922-8806']",[],https://lapcms.org/
