County,District,School,Assistance Status
Los Angeles,ABC Unified,ABC Secondary (Alternative),CSI Grad
Los Angeles,ABC Unified,Ross (Faye) Middle,General Assistance
Los Angeles,ABC Unified,Tetzlaff (Martin B.) Middle,General Assistance
Los Angeles,ABC Unified,Haskell (Pliny Fisk) Middle,General Assistance
Los Angeles,ABC Unified,Fedde (Pharis F.) Middle,General Assistance
Los Angeles,ABC Unified,Carmenita Middle,General Assistance
Contra Costa,Acalanes Union High,Acalanes Center for Independent Study,General Assistance
Los Angeles,Acton-Agua Dulce Unified,Assurance Learning Academy,General Assistance
Los Angeles,Acton-Agua Dulce Unified,SIATech Academy South,CSI Grad
Los Angeles,Acton-Agua Dulce Unified,iLEAD Hybrid,General Assistance
Los Angeles,Acton-Agua Dulce Unified,Community Collaborative Charter,CSI Grad
Los Angeles,Acton-Agua Dulce Unified,Pathways Academy Charter Adult Education,CSI Grad
Los Angeles,Acton-Agua Dulce Unified,Empower Generations,General Assistance
Los Angeles,Acton-Agua Dulce Unified,Compass Charter Schools of Los Angeles,CSI Grad
Los Angeles,Acton-Agua Dulce Unified,iLEAD Online,General Assistance
Los Angeles,Acton-Agua Dulce Unified,Options for Youth-Acton,CSI Grad
Los Angeles,Acton-Agua Dulce Unified,"Method Schools, LA",General Assistance
Los Angeles,Acton-Agua Dulce Unified,Mission Academy,General Assistance
Los Angeles,Acton-Agua Dulce Unified,iLead Agua Dulce,General Assistance
Santa Clara,Alum Rock Union Elementary,KIPP Heartwood Academy,General Assistance
Santa Clara,Alum Rock Union Elementary,Renaissance Academy,General Assistance
Santa Clara,Alum Rock Union Elementary,Adelante Dual Language Academy,General Assistance
Santa Clara,Alum Rock Union Elementary,Russo/McEntee Academy,General Assistance
Santa Clara,Alum Rock Union Elementary,Alpha: Blanca Alvarado,General Assistance
Santa Clara,Alum Rock Union Elementary,Renaissance at Mathson,General Assistance
Santa Clara,Alum Rock Union Elementary,Kipp Prize Preparatory Academy,General Assistance
Santa Clara,Alum Rock Union Elementary,Adelante Dual Language Academy II,General Assistance
Santa Clara,Alum Rock Union Elementary,Clyde L. Fischer Middle,CSI Low Perform
Santa Clara,Alum Rock Union Elementary,Lee Mathson Middle,General Assistance
Santa Clara,Alum Rock Union Elementary,Aptitud Community Academy at Goss,General Assistance
Santa Clara,Alum Rock Union Elementary,William Sheppard Middle,General Assistance
Santa Clara,Alum Rock Union Elementary,Joseph George Middle,ATSI
Santa Clara,Alum Rock Union Elementary,Ocala Middle,General Assistance
Orange,Anaheim Elementary,GOALS Academy,General Assistance
Orange,Anaheim Union High,Oxford Academy,General Assistance
Orange,Anaheim Union High,Hope,General Assistance
Los Angeles,Antelope Valley Union High,Academies of the Antelope Valley,ATSI
Los Angeles,Antelope Valley Union High,Desert Sands Charter,General Assistance
Contra Costa,Antioch Unified,Dallas Ranch Middle,ATSI
Contra Costa,Antioch Unified,Orchard Park,General Assistance
Contra Costa,Antioch Unified,Antioch Charter Academy II,General Assistance
Contra Costa,Antioch Unified,Rocketship Delta Prep,CSI Low Perform
Contra Costa,Antioch Unified,Antioch Middle,CSI Low Perform
Contra Costa,Antioch Unified,Park Middle,CSI Low Perform
Contra Costa,Antioch Unified,Black Diamond Middle,ATSI
Contra Costa,Antioch Unified,Antioch Charter Academy,General Assistance
Los Angeles,Arcadia Unified,Rancho Learning Center (Alternative),General Assistance
Los Angeles,Arcadia Unified,First Avenue Middle,General Assistance
Los Angeles,Arcadia Unified,Richard Henry Dana Middle,General Assistance
Los Angeles,Arcadia Unified,Foothills Middle,General Assistance
Los Angeles,Azusa Unified,Longfellow,General Assistance
Los Angeles,Azusa Unified,Center Middle,General Assistance
Los Angeles,Azusa Unified,Foothill Middle,General Assistance
