County,District,School,Assistance Status
Los Angeles,ABC Unified,ABC Secondary (Alternative),CSI Grad
Los Angeles,ABC Unified,Ross (Faye) Middle,General Assistance
Los Angeles,ABC Unified,Tetzlaff (Martin B.) Middle,General Assistance
Los Angeles,ABC Unified,Haskell (Pliny Fisk) Middle,General Assistance
Los Angeles,ABC Unified,Fedde (Pharis F.) Middle,General Assistance
Los Angeles,ABC Unified,Carmenita Middle,General Assistance
Los Angeles,Acton-Agua Dulce Unified,Assurance Learning Academy,General Assistance
Los Angeles,Acton-Agua Dulce Unified,SIATech Academy South,CSI Grad
Los Angeles,Acton-Agua Dulce Unified,iLEAD Hybrid,General Assistance
Los Angeles,Acton-Agua Dulce Unified,Community Collaborative Charter,CSI Grad
Los Angeles,Acton-Agua Dulce Unified,Pathways Academy Charter Adult Education,CSI Grad
Los Angeles,Acton-Agua Dulce Unified,Empower Generations,General Assistance
Los Angeles,Acton-Agua Dulce Unified,Compass Charter Schools of Los Angeles,CSI Grad
Los Angeles,Acton-Agua Dulce Unified,iLEAD Online,General Assistance
Los Angeles,Acton-Agua Dulce Unified,Options for Youth-Acton,CSI Grad
Los Angeles,Acton-Agua Dulce Unified,"Method Schools, LA",General Assistance
Los Angeles,Acton-Agua Dulce Unified,Mission Academy,General Assistance
Los Angeles,Acton-Agua Dulce Unified,iLead Agua Dulce,General Assistance
Los Angeles,Antelope Valley Union High,Academies of the Antelope Valley,ATSI
Los Angeles,Antelope Valley Union High,Desert Sands Charter,General Assistance
Los Angeles,Arcadia Unified,Rancho Learning Center (Alternative),General Assistance
Los Angeles,Arcadia Unified,First Avenue Middle,General Assistance
Los Angeles,Arcadia Unified,Richard Henry Dana Middle,General Assistance
Los Angeles,Arcadia Unified,Foothills Middle,General Assistance
Los Angeles,Azusa Unified,Longfellow,General Assistance
Los Angeles,Azusa Unified,Center Middle,General Assistance
Los Angeles,Azusa Unified,Foothill Middle,General Assistance
Los Angeles,Azusa Unified,Slauson Intermediate,General Assistance
Los Angeles,Baldwin Park Unified,Opportunities for Learning - Baldwin Park,CSI Grad
Los Angeles,Baldwin Park Unified,Jerry D. Holland Middle,General Assistance
Los Angeles,Baldwin Park Unified,Olive Middle,General Assistance
Los Angeles,Baldwin Park Unified,Santa Fe Fundamental,General Assistance
Los Angeles,Bassett Unified,Edgewood Academy,General Assistance
Los Angeles,Bassett Unified,Torch Middle,General Assistance
Los Angeles,Bellflower Unified,Las Flores Home Education Independent Study Academy,General Assistance
Los Angeles,Bellflower Unified,Bellflower Alternative Education Center,General Assistance
Los Angeles,Bellflower Unified,Intensive Learning Center,General Assistance
Los Angeles,Beverly Hills Unified,Beverly Vista Middle,General Assistance
Los Angeles,Bonita Unified,Ramona Middle,General Assistance
Los Angeles,Bonita Unified,Lone Hill Middle,General Assistance
Los Angeles,Burbank Unified,Burbank Unified Independent Learning Academy (BUILA),General Assistance
Los Angeles,Burbank Unified,Magnolia Park,General Assistance
Los Angeles,Burbank Unified,Burbank USD Community Day,General Assistance
Los Angeles,Burbank Unified,David Starr Jordan Middle,General Assistance
Los Angeles,Burbank Unified,Luther Burbank Middle,General Assistance
Los Angeles,Burbank Unified,John Muir Middle,General Assistance
Los Angeles,Castaic Union,Castaic Middle,General Assistance
Los Angeles,Centinela Valley Union High,Centinela Valley Independent Study,General Assistance
Los Angeles,Centinela Valley Union High,Family First Charter,CSI Grad
Los Angeles,Centinela Valley Union High,New Opportunities Charter,CSI Grad
Los Angeles,Charter Oak Unified,Oak Knoll Alternative,General Assistance
Los Angeles,Charter Oak Unified,Bridges Community Day,General Assistance
Los Angeles,Charter Oak Unified,Royal Oak Middle,General Assistance
Los Angeles,Claremont Unified,Community Day,General Assistance
