County,District,School,Assistance Status
Santa Clara,Alum Rock Union Elementary,Clyde L. Fischer Middle,CSI Low Perform
Contra Costa,Antioch Unified,Rocketship Delta Prep,CSI Low Perform
Contra Costa,Antioch Unified,Antioch Middle,CSI Low Perform
Contra Costa,Antioch Unified,Park Middle,CSI Low Perform
Los Angeles,Bonita Unified,Vista (Alternative),CSI Low Perform
Los Angeles,Compton Unified,Davis Middle,CSI Low Perform
Orange,Garden Grove Unified,Mark Twain Special Center,CSI Low Perform
Santa Clara,Gilroy Unified,Solorsano Middle,CSI Low Perform
Santa Clara,Gilroy Unified,South Valley Middle,CSI Low Perform
Los Angeles,Inglewood Unified,Crozier (George W.) Middle,CSI Low Perform
Los Angeles,Lancaster Elementary,The Leadership Academy,CSI Low Perform
Los Angeles,Lennox,Century Academy for Excellence,CSI Low Perform
Los Angeles,Long Beach Unified,Lindbergh STEM Academy,CSI Low Perform
Los Angeles,Long Beach Unified,Franklin Classical Middle,CSI Low Perform
Los Angeles,Los Angeles County Office of Education,North Valley Military Institute College Preparatory Academy,CSI Low Perform
Los Angeles,Los Angeles County Office of Education,Road to Success Academy at Campus Kilpatrick,CSI Low Perform
Los Angeles,Los Angeles County Office of Education,LA's Promise Charter Middle #1,CSI Low Perform
Los Angeles,Los Angeles Unified,Para Los Niños Middle,CSI Low Perform
Los Angeles,Los Angeles Unified,Academia Moderna,CSI Low Perform
Los Angeles,Los Angeles Unified,Valley Charter Middle,CSI Low Perform
Los Angeles,Los Angeles Unified,PREPA TEC - Los Angeles,CSI Low Perform
Los Angeles,Los Angeles Unified,Ingenium Charter Middle,CSI Low Perform
Los Angeles,Los Angeles Unified,KIPP Ignite Academy,CSI Low Perform
Los Angeles,Los Angeles Unified,California Collegiate Charter,CSI Low Perform
Los Angeles,Los Angeles Unified,Ednovate - Brio College Prep,CSI Low Perform
Los Angeles,Los Angeles Unified,Whitney Young Continuation,CSI Low Perform
Los Angeles,Los Angeles Unified,CDS Secondary,CSI Low Perform
Los Angeles,Los Angeles Unified,Tom Bradley Global Awareness Magnet,CSI Low Perform
Los Angeles,Los Angeles Unified,YES Academy,CSI Low Perform
Los Angeles,Los Angeles Unified,Western Avenue Technology Magnet,CSI Low Perform
Los Angeles,Los Angeles Unified,Hubert Howe Bancroft Middle,CSI Low Perform
Los Angeles,Los Angeles Unified,Charles Drew Middle,CSI Low Perform
Los Angeles,Los Angeles Unified,Bret Harte Preparatory Middle,CSI Low Perform
Los Angeles,Los Angeles Unified,Charles Maclay Middle,CSI Low Perform
Los Angeles,Los Angeles Unified,John Muir Middle,CSI Low Perform
Los Angeles,Los Angeles Unified,Northridge Middle,CSI Low Perform
Los Angeles,Los Angeles Unified,Van Nuys Middle,CSI Low Perform
Los Angeles,Los Angeles Unified,Marlton,CSI Low Perform
Los Angeles,Los Angeles Unified,"Johnnie Cochran, Jr., Middle",CSI Low Perform
Los Angeles,Los Angeles Unified,Pio Pico Middle,CSI Low Perform
Santa Clara,Milpitas Unified,Calaveras Hills,CSI Low Perform
Los Angeles,Montebello Unified,La Merced Intermediate,CSI Low Perform
Contra Costa,Mt. Diablo Unified,Diablo Community Day,CSI Low Perform
Contra Costa,Mt. Diablo Unified,Oak Grove Middle,CSI Low Perform
Contra Costa,Mt. Diablo Unified,Sunrise (Special Education),CSI Low Perform
Contra Costa,Mt. Diablo Unified,Riverview Middle,CSI Low Perform
Los Angeles,Palmdale Elementary,Yellen Learning Center,CSI Low Perform
Los Angeles,Palmdale Elementary,Palmdale Discovery Center,CSI Low Perform
Los Angeles,Palmdale Elementary,Space Aeronautics Gateway to Exploration Magnet Academy,CSI Low Perform
Los Angeles,Palmdale Elementary,"Cactus Medical, Health and Technology Magnet Academy",CSI Low Perform
Los Angeles,Paramount Unified,Paramount Unified Community Day,CSI Low Perform
Los Angeles,Paramount Unified,Captain Raymond Collins,CSI Low Perform
Los Angeles,Pasadena Unified,Washington Middle,CSI Low Perform
Los Angeles,Pasadena Unified,Woodrow Wilson Middle,CSI Low Perform
San Mateo,Ravenswood City Elementary,KIPP Valiant Community Prep,CSI Low Perform
San Francisco,San Francisco Unified,Brown Jr. (Willie L) Middle,CSI Low Perform
San Francisco,San Francisco Unified,Thomas Edison Charter Academy,CSI Low Perform
San Francisco,San Francisco Unified,Lick (James) Middle,CSI Low Perform
San Francisco,San Francisco Unified,Mission Education Center,CSI Low Perform
San Francisco,San Francisco Unified,San Francisco Community Alternative,CSI Low Perform
San Mateo,San Mateo County Office of Education,Gateway Center,CSI Low Perform
San Mateo,San Mateo County Office of Education,Oxford Day Academy,CSI Low Perform
Orange,Santa Ana Unified,Julia C. Lathrop Intermediate,CSI Low Perform
Orange,Santa Ana Unified,REACH Academy,CSI Low Perform
San Francisco,SBE - OnePurpose,OnePurpose,CSI Low Perform
Solano,Vallejo City Unified,Solano Middle,CSI Low Perform
Contra Costa,West Contra Costa Unified,Summit Public School: Tamalpais,CSI Low Perform
Contra Costa,West Contra Costa Unified,Helms Middle,CSI Low Perform
Contra Costa,West Contra Costa Unified,Lovonya DeJean Middle,CSI Low Perform
